# tv_list.txt
# C:\Users\Lenovo\Documents\Projects\my_TV_Movie\my_TV_Movie
# name_for_reference | tmdb_show_id | season_spec
Abbott Elementary | 125935 | 5
Anne Rice's Talamasca: The Secret Order | 256624 | 1
Canada's Drag Race | 94038 | 6
Down Cemetery Road | 252000 | 1
English Teacher | 258902 | 2
Ghosts | 126027 | 5
Happy's Place | 253896 | 2
High Potential | 226637 | 2
I'm a Celebrity, Get Me Out of Here! | 30901 | 25
IT: Welcome to Derry (2025) | 200875 | 1
Loot | 197449 | 3
Only Murders in the Building | 107113 | 5
Percy Jackson and the Olympians | 103540 | 2
Pluribus | 225171 | 1
Robin Hood | 272418 | 1
RuPaul's Drag Race UK | 92611 | 7
Shifting Gears | 260471 | 2
Stranger Things | 66732 | 5
The Curse of Oak Island | 60603 | 13
The Diplomat | 203857 | 3
The Last Frontier | 221079 | 1
Watson | 242867 | 2
Power Book IV: Force | 119845 | 3
Landman | 157741 | 2
I'm A Celebrity... Unpacked | 275715 | 2
A Man on the Inside | 245312 | 2
The Pitt | 250307 | 2
Hijack | 198102 | 2
Star Trek: Starfleet Academy | 223530 | 1
A Knight of the Seven Kingdoms | 224372 | 1
The Pendragon Cycle | 235685 | 1
Wonder Man | 198178 | 1
Cross | 213306 | 2
Dark Winds | 128904 | 4
